Text pattern    Desired display name
In the dark room before the Rusty Key door, guarded by a Banished Knight. Replaces Rusty Key    Rusty Key Check
Given by Albus the Albinauric in Village of the Albinauric if you roll into him (he is disguised as a pot)  Albus
Guarded by Glintstone Dragon Smarag Academy Glintstone Key Check
In a chest at the topmost of the Belfries   Belfries Check
On a robed corpse in the Raya Lucaria rooftop path, accessed by looping around from Debate Parlor by dropping down past the rubble-strewn stairs    Imubed Sword Key Check
In a chest hidden behind a magical barrier in Sellia, accessed by lighting flames around town   Sellia Check
Given by Melina after defeating Morgott Given by Melina after defeating Morgott
At the top of the Divine Tower of Liurnia, accessed after traversing Carian Study Hall  Inverted Statue Check
Given by Tanith upon joining Volcano Manor, or in her chair after defeating Rykard  Tanith
Atop a tower after defeating Commander Niall    Castle Sol Haligtree Medallion Check

